Item	Current Price	Store	Quantity	Quantity in oz	Per oz or unit price
Lysol Power Toilet Bowl Cleaner Gel (24 Fl oz 2-pack)	$3.62	Amazon	48oz	48	$0.08
Karat Commercial Paper Towel Rolls Kraft (6 Pack)	$39.37	Amazon	6 rolls	6	$6.56
Milk Bone Mini Dog Treat (36 oz)	$9.96	Amazon	36	36	$0.28
Steramine Sanitizing 150 Tablets (Pack of 4)	$26.20	Amazon	450	450	$0.06
Sprayway Glass Cleaner (19oz - Pack of 3)	$7.77	Amazon	57	57	$0.14
Palmolive Liquid Dish Soap (102oz)	$8.99	Costco	102	102	$0.09
Amazon Basics Gentle & Mild Clear Liquid Hand Soap Refill, Triclosan-Free, 50 Fl Oz (Pack of 2)	$9.57	Amazon	100oz	100	$0.10
12oz coffee bags (100 bags)	$52.19	Amazon	100	100	$0.52
2.5oz coffee bags ()		Amazon	100oz	100	$0.00
					
Total % change if ordering 1 of everything					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
